fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,red
8.2,0.17,0.32,1.5,0.05,17,101,0.994,3.14,0.58,9.5,5,0
6.7,0.5,0.63,13.4,0.078,81,238,0.9988,3.08,0.44,9.2,5,0
6.4,0.26,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1,5,0
7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5,0
7,0.18,0.37,1.5,0.043,16,104,0.99216,3.18,0.5,10.8,5,0
6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5,0
6.7,0.43,0.23,5,0.157,49,145,0.99471,3.17,0.49,9.4,5,0
6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5,0
7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,5,0
5.8,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5,0
5.9,0.415,0.02,0.8,0.038,22,63,0.9932,3.36,0.36,9.3,5,0
6.4,0.46,0.22,14.7,0.047,51,183,0.998275,3.39,0.6,10.5,5,0
5.9,0.32,0.19,14.5,0.042,37,115,0.99684,3.16,0.43,10.3,5,0
7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,5,0
8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,5,0
6.9,0.33,0.31,7.7,0.04,29,135,0.99226,3.11,0.57,12.3,5,0
6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6,5,0
6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,5,0
7.4,0.35,0.24,6,0.042,28,123,0.99304,3.14,0.44,11.3,5,0
7.4,0.35,0.31,17.95,0.062,42,187,1.0002,3.27,0.64,9.1,5,0
6.3,0.21,0.29,11.7,0.048,49,147,0.99482,3.22,0.38,10.8,5,0
6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,5,0
6.5,0.22,0.19,4.5,0.096,16,115,0.9937,3.02,0.44,9.6,5,0
5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,5,0
6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5,0
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5,0
7.6,0.35,0.47,13.3,0.037,42,116,0.99822,3.04,0.5,9.2,5,0
8.2,0.31,0.43,7,0.047,18,87,0.99628,3.23,0.64,10.6,5,0
8.2,0.2,0.38,3.5,0.053,41,174,0.99306,3.22,0.41,11.6,5,0
7,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1,5,0
6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5,0
7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,5,0
6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5,0
7.3,0.24,0.41,13.6,0.05,41,178,0.9988,3.37,0.43,9.7,5,0
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5,0
6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,5,0
6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5,0
7.1,0.46,0.23,13.7,0.045,44,192,0.9981,3.11,0.53,9.4,5,0
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5,0
6,0.39,0.13,1.2,0.042,60,172,0.99114,3.06,0.52,10.6,5,0
6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,5,0
6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5,0
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5,0
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5,0
6,0.26,0.5,2.2,0.048,59,153,0.9928,3.08,0.61,9.8,5,0
9.6,0.23,0.4,1.5,0.044,19,135,0.9937,2.96,0.49,10.9,5,0
7.6,0.17,0.45,11.2,0.054,56,137,0.997,3.15,0.47,10,5,0
8.3,0.49,0.23,6.65,0.034,6,158,0.99344,3.05,0.48,11.2,5,0
5.5,0.24,0.32,8.7,0.06,19,102,0.994,3.27,0.31,10.4,5,0
6.7,0.41,0.01,2.8,0.048,39,137,0.9942,3.24,0.35,9.5,5,0
7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9,5,0
6.3,0.305,0.22,16,0.061,26,141,0.99824,3.08,0.5,9.1,5,0
6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,5,0
7,0.53,0.02,1,0.036,39,107,0.993,3.2,0.32,9,5,0
6.2,0.235,0.34,1.9,0.036,4,117,0.99032,3.4,0.44,12.2,5,0
7.2,0.3,0.3,8.7,0.022,14,111,0.99576,3.11,0.61,10.6,5,0
7.5,0.24,0.62,10.6,0.045,51,153,0.99779,3.16,0.44,8.8,5,0
7.3,0.815,0.09,11.4,0.044,45,204,0.99713,3.15,0.46,9,5,0
7.1,0.21,0.72,1.6,0.167,65,120,0.99324,2.97,0.51,9.2,5,0
6.3,0.36,0.2,2,0.048,48,191,0.9929,3.17,0.51,9.6,5,0
7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5,0
7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,5,0
7.7,0.27,0.61,12,0.046,64,179,0.9982,3.07,0.46,8.9,5,0
6.7,0.31,0.44,6.7,0.054,29,160,0.9952,3.04,0.44,9.6,5,0
7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,5,0
6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,5,0
6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5,0
7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,5,0
6.4,0.5,0.16,12.9,0.042,26,138,0.9974,3.28,0.33,9,5,0
6.7,0.26,0.51,8,0.062,50,194,0.99545,3.13,0.5,9.6,5,0
7.4,0.18,0.4,1.6,0.047,22,102,0.9937,3.28,0.44,10.7,5,0
7,0.24,0.51,11,0.029,55,227,0.9965,3.03,0.61,9.5,5,0
7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5,0
7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,5,0
7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5,0
7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,5,0
5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5,0
4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,5,0
6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,5,0
6.4,0.29,0.3,6.5,0.209,62,156,0.99478,3.1,0.4,9.4,5,0
6,0.2,0.24,5.3,0.075,49,201,0.99466,3.21,0.43,9.5,5,0
6.8,0.34,0.44,6.6,0.052,28,156,0.9955,3.14,0.41,9.6,5,0
6.7,0.5,0.38,7.5,0.046,26,175,0.99662,3.32,0.54,9.6,5,0
6.6,0.55,0.01,2.7,0.034,56,122,0.9906,3.15,0.3,11.9,5,0
7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5,0
7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2,5,0
6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,6,0
6.5,0.34,0.28,1.8,0.041,43,188,0.9928,3.13,0.37,9.6,6,0
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,0
5.7,0.25,0.26,12.5,0.049,52.5,120,0.99691,3.08,0.45,9.4,6,0
7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6,0
5.3,0.275,0.24,7.4,0.038,28,114,0.99313,3.38,0.51,11,6,0
6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,6,0
5.4,0.15,0.32,2.5,0.037,10,51,0.98878,3.04,0.58,12.6,6,0
6.1,0.41,0.04,1.3,0.036,23,121,0.99228,3.24,0.61,9.9,6,0
6.3,0.32,0.17,17.75,0.06,51,190,0.99916,3.13,0.48,8.8,6,0
6.4,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,6,0
6.7,0.24,0.46,2.2,0.033,19,111,0.99045,3.1,0.62,11.9,6,0
6.5,0.29,0.52,7.9,0.049,35,192,0.99551,3.16,0.51,9.5,6,0
7.4,0.29,0.29,1.6,0.045,53,180,0.9936,3.34,0.68,10.5,6,0
5.7,0.32,0.5,2.6,0.049,17,155,0.9927,3.22,0.64,10,6,0
6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6,0
6.8,0.43,0.26,5.2,0.043,40,176,0.99116,3.17,0.41,12.3,6,0
6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,6,0
8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,6,0
8,0.32,0.36,4.6,0.042,56,178,0.9928,3.29,0.47,12,6,0
6.8,0.52,0.32,13.2,0.044,54,221,0.9972,3.27,0.5,9.6,6,0
6.9,0.14,0.29,9.9,0.056,30,91,0.99512,3.19,0.33,9.9,6,0
6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,6,0
5.8,0.23,0.2,2,0.043,39,154,0.99226,3.21,0.39,10.2,6,0
6.8,0.17,0.17,5.1,0.049,26,82,0.993,3,0.38,9.8,6,0
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,0
6.4,0.26,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,6,0
5.7,0.36,0.21,6.7,0.038,51,166,0.9941,3.29,0.63,10,6,0
7.2,0.2,0.28,1.6,0.028,13,168,0.99203,3.17,1.06,11.5,6,0
7,0.27,0.74,1.3,0.173,34,121,0.99334,3.04,0.46,9.2,6,0
7.5,0.38,0.33,9.2,0.043,19,116,0.99444,3.08,0.42,11.4,6,0
7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,6,0
7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6,0
7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6,0
6.5,0.28,0.26,8.8,0.04,44,139,0.9956,3.32,0.37,10.2,6,0
6.5,0.2,0.33,1.5,0.039,36,110,0.99008,3.22,0.65,12,6,0
6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,6,0
6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9,6,0
5.6,0.13,0.27,4.8,0.028,22,104,0.9948,3.34,0.45,9.2,6,0
6.2,0.3,0.26,13.4,0.046,57,206,0.99775,3.17,0.43,9.5,6,0
7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,6,0
6.6,0.54,0.21,16.3,0.055,41,182,0.9986,3.35,0.54,10.4,6,0
8.8,0.23,0.74,3.2,0.042,15,126,0.9934,3.02,0.51,11.2,6,0
7.9,0.12,0.49,5.2,0.049,33,152,0.9952,3.18,0.47,10.6,6,0
7.3,0.25,0.27,3.8,0.047,16,79,0.99173,3.07,0.46,11.3,6,0
6.5,0.22,0.34,12,0.053,55,177,0.9983,3.52,0.44,9.9,6,0
7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6,0
6.3,0.21,0.28,1.5,0.051,46,142,0.9928,3.23,0.42,10.1,6,0
6.6,0.23,0.37,8.5,0.036,46,153,0.99576,3.2,0.48,9.4,6,0
10.7,0.22,0.56,8.2,0.044,37,181,0.998,2.87,0.68,9.5,6,0
6.3,0.21,0.4,1.7,0.031,48,134,0.9917,3.42,0.49,11.5,6,0
7.3,0.34,0.39,5.2,0.04,45,163,0.9925,3.3,0.47,12.4,6,0
6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.7333333333333,6,0
7.8,0.22,0.36,1.4,0.056,21,153,0.993,3.2,0.53,10.4,6,0
7.3,0.27,0.3,1.3,0.04,26,84,0.99222,3.28,0.53,10.7,6,0
6.5,0.35,0.38,7.4,0.036,20,196,0.99712,3.47,0.48,9.1,6,0
6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6,0
7,0.27,0.74,1.5,0.036,27,122,0.9926,3.35,0.48,11.2,6,0
7.6,0.28,0.39,1.2,0.038,21,115,0.994,3.16,0.67,10,6,0
6.3,0.21,0.28,1.5,0.051,46,142,0.9928,3.23,0.42,10.1,6,0
6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6,0
6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,6,0
6.3,0.37,0.51,6.3,0.048,35,146,0.9943,3.1,1.01,10.5,6,0
6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,6,0
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6,0
7.4,0.19,0.42,6.4,0.067,39,212,0.9958,3.3,0.33,9.6,6,0
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6,0
7.3,0.17,0.23,6.3,0.051,35,240,0.9963,3.36,0.54,10,6,0
6.1,0.41,0.2,12.6,0.032,54,136,0.99516,2.91,0.43,10.6,6,0
6.2,0.2,0.29,11.8,0.035,21,93,0.99364,3.18,0.34,11.9,6,0
6.3,0.24,0.74,1.4,0.172,24,108,0.9932,3.27,0.39,9.9,6,0
7.9,0.19,0.45,1.5,0.045,17,96,0.9917,3.13,0.39,11,6,0
6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,6,0
6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,6,0
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6,0
6,0.26,0.32,3.8,0.029,48,180,0.99011,3.15,0.34,12,6,0
7.1,0.3,0.46,1.5,0.066,29,133,0.9906,3.12,0.54,12.7,6,0
7,0.21,0.22,5.1,0.048,38,168,0.9945,3.34,0.49,10.4,6,0
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6,0
8.1,0.3,0.31,1.1,0.041,49,123,0.9914,2.99,0.45,11.1,6,0
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,0
7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6,0
7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6,0
7.7,0.29,0.29,4.8,0.06,27,156,0.99572,3.49,0.59,10.3,6,0
7,0.17,0.42,1,0.075,19,71,0.99103,3.32,0.62,11.4,6,0
7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6,0
8.4,0.36,0.36,11.1,0.032,21,132,0.99313,2.95,0.39,13,6,0
7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6,0
7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6,0
7,0.17,0.37,5.7,0.025,29,111,0.9938,3.2,0.49,10.8,6,0
5.9,0.14,0.2,1.6,0.04,26,114,0.99105,3.25,0.45,11.4,6,0
5.8,0.23,0.27,1.8,0.043,24,69,0.9933,3.38,0.31,9.4,6,0
6,0.52,0.33,7.7,0.046,24,119,0.99224,3.04,0.38,11,6,0
6,0.21,0.38,0.8,0.02,22,98,0.98941,3.26,0.32,11.8,6,0
7.1,0.18,0.42,1.4,0.045,47,157,0.9916,2.95,0.31,10.5,6,0
6.5,0.3,0.28,11.45,0.041,29,109,0.99418,2.98,0.3,10.9,6,0
6.2,0.28,0.57,1,0.043,50,92,0.99004,3.17,0.36,11.5,6,0
7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,6,0
6.6,0.18,0.26,17.3,0.051,17,149,0.9984,3,0.43,9.4,6,0
5.3,0.395,0.07,1.3,0.035,26,102,0.992,3.5,0.35,10.6,6,0
5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,7,0
5.8,0.23,0.31,3.5,0.044,35,158,0.98998,3.19,0.37,12.1,7,0
7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,7,0
7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,7,0
7.1,0.22,0.33,2.8,0.033,48,153,0.9899,3.15,0.38,12.7,7,0
6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7,0
6.9,0.19,0.35,6.9,0.045,51,125,0.9933,3.1,0.44,10.7,7,0
7,0.28,0.32,7.75,0.032,30,114,0.99158,3.12,0.64,12.8,7,0
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7,0
7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,7,0
7.9,0.42,0.49,8.2,0.056,32,164,0.9965,3.29,0.6,11.2,7,0
6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,7,0
7.4,0.18,0.42,2.1,0.036,33,187,0.9938,3.4,0.41,10.6,7,0
5.6,0.42,0.34,2.4,0.022,34,97,0.98915,3.22,0.38,12.8,7,0
6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,7,0
8.6,0.18,0.4,1.1,0.04,20,107,0.9923,2.94,0.32,10.2,7,0
5.8,0.18,0.37,1.2,0.036,19,74,0.98853,3.09,0.49,12.7,7,0
6.6,0.32,0.26,4.6,0.031,26,120,0.99198,3.4,0.73,12.5,7,0
5.6,0.28,0.27,3.9,0.043,52,158,0.99202,3.35,0.44,10.7,7,0
7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7,0
6.7,0.21,0.34,1.5,0.035,45,123,0.98949,3.24,0.36,12.6,7,0
7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,7,0
6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,7,0
6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,7,0
6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,7,0
6.3,0.2,0.26,4.7,0.04,108,168,0.99278,3.07,0.75,10.7,7,0
7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,7,0
5.4,0.22,0.35,6.5,0.029,26,87,0.99092,3.29,0.44,12.5,7,0
8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7,0
6.7,0.22,0.37,1.6,0.028,24,102,0.9913,3.29,0.59,11.6,7,0
7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7,0
6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7,0
6.5,0.32,0.34,5.7,0.044,27,91,0.99184,3.28,0.6,12,7,0
6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7,0
6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7,0
5.9,0.2,0.28,12.8,0.038,29,132,0.99426,3.31,0.57,11.8,7,0
5.9,0.12,0.28,1.4,0.037,36,83,0.99074,3.33,0.42,10.9,7,0
6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11,7,0
6.9,0.31,0.34,7.4,0.059,36,174,0.9963,3.46,0.62,11.1,7,0
7.5,0.305,0.38,1.4,0.047,30,95,0.99158,3.22,0.52,11.5,7,0
6.9,0.3,0.45,1.4,0.039,36,122,0.99059,3.07,0.47,11.1,7,0
6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.2666666666667,7,0
7.8,0.2,0.24,1.6,0.026,26,189,0.991,3.08,0.74,12.1,7,0
6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7,0
6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7,0
7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,7,0
5,0.17,0.56,1.5,0.026,24,115,0.9906,3.48,0.39,10.8,7,0
7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,7,0
7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7,0
7.3,0.23,0.27,2.6,0.035,39,120,0.99138,3.04,0.59,11.3,7,0
6.4,0.14,0.31,1.2,0.034,53,138,0.99084,3.38,0.35,11.5,7,0
7,0.25,0.45,2.3,0.045,40,118,0.99064,3.16,0.48,11.9,7,0
5.4,0.23,0.36,1.5,0.03,74,121,0.98976,3.24,0.99,12.1,7,0
7.6,0.14,0.74,1.6,0.04,27,103,0.9916,3.07,0.4,10.8,7,0
6.7,0.18,0.31,10.6,0.035,42,143,0.99572,3.08,0.49,9.8,7,0
6.5,0.16,0.33,1,0.027,23,75,0.9908,3.3,0.39,11.4,7,0
7.2,0.19,0.31,6.3,0.034,17,103,0.99305,3.15,0.52,11.4,7,0
7,0.31,0.31,9.1,0.036,45,140,0.99216,2.98,0.31,12,7,0
6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9,7,0
5,0.3,0.33,3.7,0.03,54,173,0.9887,3.36,0.3,13,7,0
8.1,0.26,0.33,11.1,0.052,52.5,158,0.9976,3.03,0.49,10.2,7,0
6.1,0.22,0.4,1.85,0.031,25,111,0.98966,3.03,0.3,11.8,7,0
5.8,0.31,0.32,4.5,0.024,28,94,0.98906,3.25,0.52,13.7,7,0
7,0.31,0.31,9.1,0.036,45,140,0.99216,2.98,0.31,12,7,0
7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7,0
6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,7,0
6.5,0.37,0.3,2.2,0.033,39,107,0.98894,3.22,0.53,13.5,7,0
7.4,0.19,0.49,6.7,0.037,15,110,0.9938,3.2,0.38,11,7,0
6.7,0.44,0.22,4.3,0.032,19,99,0.99015,3.26,0.53,12.8,7,0
6,0.24,0.33,2.5,0.026,31,85,0.99014,3.13,0.5,11.3,7,0
5.8,0.28,0.3,1.5,0.026,31,114,0.98952,3.32,0.6,12.5,7,0
6.5,0.16,0.34,1.4,0.029,29,133,0.99108,3.33,0.64,11.5,7,0
6.5,0.28,0.34,4.6,0.054,22,130,0.99193,3.2,0.46,12,7,0
6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,7,0
6.7,0.27,0.3,13.9,0.029,34,131,0.9953,3.36,0.5,12,7,0
6.7,0.48,0.32,1.4,0.021,22,121,0.9889,3.15,0.53,12.7,7,0
7.6,0.31,0.49,3.95,0.044,27,131,0.9912,3.08,0.67,12.8,7,0
6.1,0.17,0.28,2.5,0.028,22,98,0.99072,3.16,0.37,11.1,7,0
6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7,0
7.2,0.21,0.28,2.7,0.033,38,94,0.99075,2.99,0.43,11.8,7,0
7.1,0.13,0.4,1.2,0.047,54,134,0.9932,3.3,0.97,9.8,7,0
8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7,0
7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,7,0
7,0.22,0.28,10.6,0.039,32,117,0.99355,3.05,0.55,11.5,7,0
5.9,0.22,0.29,4.2,0.037,69,144,0.99214,3.13,0.74,10.8,7,0
6.6,0.21,0.31,11.4,0.039,46,165,0.99795,3.41,0.44,9.8,7,0
6.5,0.14,0.32,2.7,0.037,18,89,0.9924,3.4,0.74,11.5,7,0
7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7,0
6.7,0.41,0.24,5.4,0.035,33,115,0.9901,3.12,0.44,12.8933333333333,7,0
7,0.32,0.27,7.1,0.027,37,122,0.99165,3.15,0.6,12.6,7,0
7.1,0.16,0.36,1.2,0.043,21,90,0.9925,3.16,0.42,11,7,0
6.8,0.27,0.49,1.2,0.044,35,126,0.99,3.13,0.48,12.1,7,0
6.4,0.4,0.19,3.2,0.033,28,124,0.9904,3.22,0.54,12.7,7,0
6.6,0.17,0.28,1.1,0.034,55,108,0.98939,3,0.52,11.9,7,0
7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,7,0
7.3,0.25,0.41,1.8,0.037,52,165,0.9911,3.29,0.39,12.2,7,0
5.2,0.5,0.18,2,0.036,23,129,0.98949,3.36,0.77,13.4,7,0
7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1,7,0
6.1,0.29,0.27,1.7,0.024,13,76,0.9893,3.21,0.51,12.6,7,0
6.3,0.3,0.29,2.1,0.048,33,142,0.98956,3.22,0.46,12.9,7,0
